Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.12,0.1,0.1,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.7161140441894531,0.4142634868621826,0.6790571212768555,0.860382080078125,0.80291748046875,0.703216552734375,0.23399120569229126,0.2864503860473633
year,NLL,Cov90,0.12,0.1,0.1,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.8352910280227661,0.5334404706954956,0.6790571212768555,0.860382080078125,0.803680419921875,0.703216552734375,0.023183152079582214,0.2932107448577881
year,NLL,Cov90,0.12,0.1,0.2,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8361061811447144,0.5342556238174438,0.6790571212768555,0.860382080078125,0.784393310546875,0.703216552734375,0.23030981421470642,0.5173265933990479
year,NLL,Cov90,0.12,0.1,0.2,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.917863130569458,0.6160125732421875,0.6790571212768555,0.860382080078125,0.79412841796875,0.703216552734375,0.026035046204924583,0.5368101596832275
year,NLL,Cov90,0.12,0.1,0.2,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.84079909324646,0.5389485359191895,0.6790571212768555,0.860382080078125,0.7862548828125,0.703216552734375,0.12585794925689697,0.5257292985916138
year,NLL,Cov90,0.12,0.1,0.2,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,2.0526747703552246,0.7508242130279541,0.6790571212768555,0.860382080078125,0.77862548828125,0.703216552734375,0.0070005152374506,0.5238522887229919
year,NLL,Cov90,0.12,0.1,0.2,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.5304596424102783,0.2286090850830078,0.6790571212768555,0.860382080078125,0.825897216796875,0.703216552734375,0.26144978404045105,0.44958025217056274
year,NLL,Cov90,0.12,0.1,0.2,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.5085570812225342,0.20670652389526367,0.6790571212768555,0.860382080078125,0.839691162109375,0.703216552734375,0.037222810089588165,0.46850207448005676
year,NLL,Cov90,0.12,0.1,0.2,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.503023624420166,0.2011730670928955,0.6790571212768555,0.860382080078125,0.83038330078125,0.703216552734375,0.14653903245925903,0.46762698888778687
year,NLL,Cov90,0.12,0.1,0.2,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.7720311880111694,0.4701806306838989,0.6790571212768555,0.860382080078125,0.820281982421875,0.703216552734375,0.008748816326260567,0.46188777685165405
year,NLL,Cov90,0.18,0.02,0.0,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.7748035192489624,0.4729529619216919,0.6790571212768555,0.860382080078125,0.78717041015625,0.703216552734375,0.9917882084846497,0.0014921636320650578
year,NLL,Cov90,0.18,0.02,0.0,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.7692875862121582,0.4674370288848877,0.6790571212768555,0.860382080078125,0.78851318359375,0.703216552734375,0.9918009042739868,0.0014898856170475483
year,NLL,Cov90,0.18,0.02,0.0,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.7617417573928833,0.4598912000656128,0.6790571212768555,0.860382080078125,0.7880859375,0.703216552734375,0.9838905334472656,0.001477106474339962
year,NLL,Cov90,0.18,0.02,0.0,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.7511076927185059,0.44925713539123535,0.6790571212768555,0.860382080078125,0.789825439453125,0.703216552734375,0.9837354421615601,0.0014916466316208243
year,NLL,Cov90,0.18,0.02,0.0,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.5177454948425293,0.2158949375152588,0.6790571212768555,0.860382080078125,0.811065673828125,0.703216552734375,0.9927786588668823,0.0013111624866724014
year,NLL,Cov90,0.18,0.02,0.0,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.4781546592712402,0.17630410194396973,0.6790571212768555,0.860382080078125,0.8170166015625,0.703216552734375,0.9927833080291748,0.0013103375677019358
year,NLL,Cov90,0.18,0.02,0.0,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.509723424911499,0.20787286758422852,0.6790571212768555,0.860382080078125,0.81597900390625,0.703216552734375,0.9856396913528442,0.001314704306423664
year,NLL,Cov90,0.18,0.02,0.0,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.4929616451263428,0.19111108779907227,0.6790571212768555,0.860382080078125,0.8170166015625,0.703216552734375,0.9856619238853455,0.001312570064328611
year,NLL,Cov90,0.18,0.02,0.1,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.780614972114563,0.4787644147872925,0.6790571212768555,0.860382080078125,0.787200927734375,0.703216552734375,0.4804791808128357,0.2955056428909302
year,NLL,Cov90,0.18,0.02,0.1,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,2.0529263019561768,0.7510757446289062,0.6790571212768555,0.860382080078125,0.780364990234375,0.703216552734375,0.14937350153923035,0.2972841262817383
year,NLL,Cov90,0.18,0.02,0.1,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.8962551355361938,0.5944045782089233,0.6790571212768555,0.860382080078125,0.78240966796875,0.703216552734375,0.33310627937316895,0.3002578616142273
