Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.12,0.05,0.2,0.8,0.5,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.76974618434906,0.46789562702178955,0.8931231498718262,0.860382080078125,0.78704833984375,0.649017333984375,0.15072807669639587,0.434747576713562
year,NLL,Cov90,0.12,0.05,0.2,0.8,0.5,2.0,0.85,1.3018505573272705,2.1949737071990967,1.808931589126587,0.5070810317993164,0.8931231498718262,0.860382080078125,0.814666748046875,0.649017333984375,0.010434316471219063,0.4102630615234375
year,NLL,Cov90,0.12,0.1,0.0,0.8,0.25,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.6287237405776978,0.32687318325042725,0.8931231498718262,0.860382080078125,0.801116943359375,0.649017333984375,0.749916672706604,0.04243706166744232
year,NLL,Cov90,0.12,0.1,0.0,0.8,0.25,1.0,0.85,1.3018505573272705,2.1949737071990967,1.7450735569000244,0.4432229995727539,0.8931231498718262,0.860382080078125,0.786041259765625,0.649017333984375,0.4453909695148468,0.03780999779701233
year,NLL,Cov90,0.12,0.1,0.0,0.8,0.25,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.770695686340332,0.4688451290130615,0.8931231498718262,0.860382080078125,0.78271484375,0.649017333984375,0.644295334815979,0.03651706129312515
year,NLL,Cov90,0.12,0.1,0.0,0.8,0.25,2.0,0.85,1.3018505573272705,2.1949737071990967,1.8000285625457764,0.49817800521850586,0.8931231498718262,0.860382080078125,0.767852783203125,0.649017333984375,0.23578116297721863,0.03875632584095001
year,NLL,Cov90,0.12,0.1,0.0,0.8,0.5,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.557008147239685,0.25515758991241455,0.8931231498718262,0.860382080078125,0.81475830078125,0.649017333984375,0.7923146486282349,0.033029332756996155
year,NLL,Cov90,0.12,0.1,0.0,0.8,0.5,1.0,0.85,1.3018505573272705,2.1949737071990967,1.5118589401245117,0.2100083827972412,0.8931231498718262,0.860382080078125,0.820648193359375,0.649017333984375,0.4507720470428467,0.03786373510956764
year,NLL,Cov90,0.12,0.1,0.0,0.8,0.5,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.4873733520507812,0.18552279472351074,0.8931231498718262,0.860382080078125,0.817108154296875,0.649017333984375,0.67466801404953,0.033078476786613464
year,NLL,Cov90,0.12,0.1,0.0,0.8,0.5,2.0,0.85,1.3018505573272705,2.1949737071990967,1.5520073175430298,0.2501567602157593,0.8931231498718262,0.860382080078125,0.79840087890625,0.649017333984375,0.2725803256034851,0.037434473633766174
year,NLL,Cov90,0.12,0.1,0.1,0.8,0.25,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.9812123775482178,0.6793618202209473,0.8931231498718262,0.860382080078125,0.79669189453125,0.649017333984375,0.36650973558425903,0.2862958610057831
year,NLL,Cov90,0.12,0.1,0.1,0.8,0.25,1.0,0.85,1.3018505573272705,2.1949737071990967,1.96722412109375,0.6653735637664795,0.8931231498718262,0.860382080078125,0.7823486328125,0.649017333984375,0.06757903099060059,0.3202943801879883
year,NLL,Cov90,0.12,0.1,0.1,0.8,0.25,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.719893217086792,0.4180426597595215,0.8931231498718262,0.860382080078125,0.79364013671875,0.649017333984375,0.234039768576622,0.29842913150787354
year,NLL,Cov90,0.12,0.1,0.1,0.8,0.25,2.0,0.85,1.3018505573272705,2.1949737071990967,2.0908918380737305,0.78904128074646,0.8931231498718262,0.860382080078125,0.78594970703125,0.649017333984375,0.013867484405636787,0.31519678235054016
year,NLL,Cov90,0.12,0.1,0.1,0.8,0.5,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.7229293584823608,0.42107880115509033,0.8931231498718262,0.860382080078125,0.8101806640625,0.649017333984375,0.3894808888435364,0.2671434283256531
year,NLL,Cov90,0.12,0.1,0.1,0.8,0.5,1.0,0.85,1.3018505573272705,2.1949737071990967,2.020707607269287,0.7188570499420166,0.8931231498718262,0.860382080078125,0.788848876953125,0.649017333984375,0.054962556809186935,0.34596461057662964
year,NLL,Cov90,0.12,0.1,0.1,0.8,0.5,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.7596704959869385,0.45781993865966797,0.8931231498718262,0.860382080078125,0.805389404296875,0.649017333984375,0.23569312691688538,0.29376161098480225
year,NLL,Cov90,0.12,0.1,0.1,0.8,0.5,2.0,0.85,1.3018505573272705,2.1949737071990967,1.8405206203460693,0.5386700630187988,0.8931231498718262,0.860382080078125,0.799041748046875,0.649017333984375,0.024302486330270767,0.2677241563796997
year,NLL,Cov90,0.12,0.1,0.2,0.8,0.25,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.8530223369598389,0.5511717796325684,0.8931231498718262,0.860382080078125,0.79669189453125,0.649017333984375,0.24645179510116577,0.5270911455154419
year,NLL,Cov90,0.12,0.1,0.2,0.8,0.25,1.0,0.85,1.3018505573272705,2.1949737071990967,1.9400970935821533,0.6382465362548828,0.8931231498718262,0.860382080078125,0.8009033203125,0.649017333984375,0.02828317880630493,0.5707831382751465
